2456293.500000000, A.D. 2013-Jan-01 00:00:00.0000, -1.284282111761733E-03, -2.455154076901959E-03, -4.207238483437137E-05,  6.145761414237818E-06, -1.318053417580493E-06, -1.306280382523269E-07,
2456324.500000000, A.D. 2013-Feb-01 00:00:00.0000, -1.093056481060748E-03, -2.491459981614031E-03, -4.616125976796566E-05,  6.194497755631326E-06, -1.025891480146080E-06, -1.336289306871978E-07,
2456352.500000000, A.D. 2013-Mar-01 00:00:00.0000, -9.188546927392327E-04, -2.516366492898275E-03, -4.994945702893352E-05,  6.245128941343986E-06, -7.500075362647191E-07, -1.365575818214298E-07,
2456383.500000000, A.D. 2013-Apr-01 00:00:00.0000, -7.245688055892598E-04, -2.534860158801504E-03, -5.423444490134754E-05,  6.289621497463577E-06, -4.416079220383064E-07, -1.401455391742027E-07,
2456413.500000000, A.D. 2013-May-01 00:00:00.0000, -5.353177304151295E-04, -2.543435278823837E-03, -5.849444979111151E-05,  6.324490188438369E-06, -1.267396514108689E-07, -1.436840752769290E-07,
2456444.500000000, A.D. 2013-Jun-01 00:00:00.0000, -3.391141765050531E-04, -2.541982999861629E-03, -6.296171198672105E-05,  6.321757149397644E-06,  2.204669934416484E-07, -1.435504550147733E-07,
2456474.500000000, A.D. 2013-Jul-01 00:00:00.0000, -1.500871597304588E-04, -2.530686501662298E-03, -6.724109703633879E-05,  6.277365398512920E-06,  5.267118903221826E-07, -1.417746107914714E-07,
2456505.500000000, A.D. 2013-Aug-01 00:00:00.0000,  4.373046539158394E-05, -2.509906528256548E-03, -7.161407490667813E-05,  6.229581730485265E-06,  8.097118997498484E-07, -1.405276204484502E-07,
2456536.500000000, A.D. 2013-Sep-01 00:00:00.0000,  2.362278134895213E-04, -2.480517764832824E-03, -7.594148476938826E-05,  6.188419703061226E-06,  1.083021788228286E-06, -1.385775714517957E-07,
2456566.500000000, A.D. 2013-Oct-01 00:00:00.0000,  4.215061405090125E-04, -2.444248913093186E-03, -8.010023810258445E-05,  6.168576312573185E-06,  1.336980509471261E-06, -1.391441308274743E-07,
2456597.500000000, A.D. 2013-Nov-01 00:00:00.0000,  6.127338597820036E-04, -2.398368760094328E-03, -8.445079073376261E-05,  6.170570312170214E-06,  1.632150938903024E-06, -1.416040727757416E-07,
2456627.500000000, A.D. 2013-Dec-01 00:00:00.0000,  7.975751740351011E-04, -2.344392910436258E-03, -8.870161278365244E-05,  6.142276208688048E-06,  1.969449203810532E-06, -1.414246365681432E-07,
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000,  9.868769745243237E-04, -2.277782350730992E-03, -9.307326473444218E-05,  6.061899284304639E-06,  2.328930603045835E-06, -1.404244757633633E-07,
