2456293.500000000, A.D. 2013-Jan-01 00:00:00.0000,  1.988905188037621E+01,  2.570901342088520E+00, -2.481243256190192E-01, -5.329928364654582E-04,  3.717311826521704E-03,  2.072741204873857E-05,
2456324.500000000, A.D. 2013-Feb-01 00:00:00.0000,  1.987217816293475E+01,  2.686092066673892E+00, -2.474770673329137E-01, -5.555710788943687E-04,  3.714313636429995E-03,  2.103901134883395E-05,
2456352.500000000, A.D. 2013-Mar-01 00:00:00.0000,  1.985633505605691E+01,  2.790053768926231E+00, -2.468855546940257E-01, -5.760144463571946E-04,  3.711503721737705E-03,  2.130607719044977E-05,
2456383.500000000, A.D. 2013-Apr-01 00:00:00.0000,  1.983812711740384E+01,  2.905060432700739E+00, -2.462227468274316E-01, -5.987196057336813E-04,  3.708278518427250E-03,  2.154677481788146E-05,
2456413.500000000, A.D. 2013-May-01 00:00:00.0000,  1.981984048361710E+01,  3.016259508454925E+00, -2.455723567128869E-01, -6.205660263147557E-04,  3.705009520001997E-03,  2.179567706522033E-05,
2456444.500000000, A.D. 2013-Jun-01 00:00:00.0000,  1.980025425566971E+01,  3.131060639064217E+00, -2.448920695993154E-01, -6.430634161172937E-04,  3.701498686666759E-03,  2.212621695476208E-05,
2456474.500000000, A.D. 2013-Jul-01 00:00:00.0000,  1.978063416214766E+01,  3.242053208166050E+00, -2.442252749708019E-01, -6.649084467767363E-04,  3.697981592898966E-03,  2.234880222031572E-05,
2456505.500000000, A.D. 2013-Aug-01 00:00:00.0000,  1.975967256698661E+01,  3.356632608823966E+00, -2.435287429963608E-01, -6.875361114004837E-04,  3.694235327434940E-03,  2.259270258924550E-05,
2456536.500000000, A.D. 2013-Sep-01 00:00:00.0000,  1.973801279310284E+01,  3.471093501913820E+00, -2.428223362242450E-01, -7.099834612312617E-04,  3.690323717486739E-03,  2.285023269766562E-05,
2456566.500000000, A.D. 2013-Oct-01 00:00:00.0000,  1.971638681679317E+01,  3.581745311022632E+00, -2.421312021190988E-01, -7.317180918225509E-04,  3.686429096830639E-03,  2.316820296106202E-05,
2456597.500000000, A.D. 2013-Nov-01 00:00:00.0000,  1.969335369507550E+01,  3.695960931275958E+00, -2.414083990327428E-01, -7.541708703654075E-04,  3.682274021842852E-03,  2.346776135725882E-05,
2456627.500000000, A.D. 2013-Dec-01 00:00:00.0000,  1.967040105731046E+01,  3.806367440379676E+00, -2.407015997653124E-01, -7.759951123684981E-04,  3.678140612136254E-03,  2.367153452981851E-05,
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000,  1.964599780056024E+01,  3.920321959327589E+00, -2.399614084317033E-01, -7.983933466533020E-04,  3.673725817743764E-03,  2.398798085054018E-05,
