2456293.500000000, A.D. 2013-Jan-01 00:00:00.0000, -1.813068419866209E-01,  9.642197733507970E-01, -6.850809238551276E-05, -1.718334419397708E-02, -3.209800047122614E-03,  6.736104268755766E-09,
2456324.500000000, A.D. 2013-Feb-01 00:00:00.0000, -6.617426385386131E-01,  7.285798316825735E-01, -6.597215993806411E-05, -1.303954352227586E-02, -1.159315598478561E-02, -2.508544070897701E-07,
2456352.500000000, A.D. 2013-Mar-01 00:00:00.0000, -9.342026578088727E-01,  3.302000385252358E-01, -5.786024121075939E-05, -6.053173422572428E-03, -1.626331679965129E-02, -2.071969890601451E-07,
2456383.500000000, A.D. 2013-Apr-01 00:00:00.0000, -9.807875577595121E-01, -1.973151136707718E-01, -4.844634912552270E-05,  3.073599875598269E-03, -1.693635422415261E-02, -2.406135293883058E-07,
2456413.500000000, A.D. 2013-May-01 00:00:00.0000, -7.655137306921562E-01, -6.582254690922715E-01, -4.008778343803577E-05,  1.091639257004536E-02, -1.312893658320779E-02, -6.637105239752323E-08,
2456444.500000000, A.D. 2013-Jun-01 00:00:00.0000, -3.390258254787765E-01, -9.583086407328253E-01, -3.571719483634072E-05,  1.594075002738830E-02, -5.816557246001828E-03,  2.803226977372377E-07,
2456474.500000000, A.D. 2013-Jul-01 00:00:00.0000,  1.614692358513923E-01, -1.006250442619406E+00, -3.773806435847127E-05,  1.671407738256281E-02,  2.665158012291031E-03,  3.025862412480648E-07,
2456505.500000000, A.D. 2013-Aug-01 00:00:00.0000,  6.350970705619281E-01, -7.942739969175067E-01, -4.679354041987892E-05,  1.315319459253426E-02,  1.069830855235053E-02,  8.081282247792080E-08,
2456536.500000000, A.D. 2013-Sep-01 00:00:00.0000,  9.395180873176763E-01, -3.717330905691217E-01, -6.282506148340696E-05,  6.027145278395384E-03,  1.595077366977151E-02, -4.214241375011711E-07,
2456566.500000000, A.D. 2013-Oct-01 00:00:00.0000,  9.924279244324629E-01,  1.332634155689789E-01, -8.246824167605049E-05, -2.601597382412292E-03,  1.698816800771702E-02, -8.175650871078219E-07,
2456597.500000000, A.D. 2013-Nov-01 00:00:00.0000,  7.770464385009926E-01,  6.159837339828347E-01, -1.028499037737736E-04, -1.099340283163075E-02,  1.340203122007721E-02, -1.131274739163335E-06,
2456627.500000000, A.D. 2013-Dec-01 00:00:00.0000,  3.581231076866615E-01,  9.167764142536667E-01, -1.176541491101798E-04, -1.631444471566230E-02,  6.176729397605386E-03, -9.914888555891553E-07,
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000, -1.746041985269436E-01,  9.652755962354420E-01, -1.250716210353621E-04, -1.720953677535424E-02, -3.134828358254410E-03, -3.741456402647257E-07,
